Country,Segment,Date,Snapshot Date,Metric,Value
Cyprus,Corporates - Of Which: SME,2021-12,31/12/2021,Default Rate,
Cyprus,Retail,2021-12,31/12/2021,Default Rate,0.003969361
Cyprus,Retail - Secured on real estate property,2021-12,31/12/2021,Default Rate,
Cyprus,Retail - Qualifying Revolving,2021-12,31/12/2021,Default Rate,0.018525509
Cyprus,Retail - Other Retail,2021-12,31/12/2021,Default Rate,0.00796891
Czech,Corporates,2021-12,31/12/2021,Default Rate,0.005544502
Czech,Corporates - Of Which: Specialised Lending,2021-12,31/12/2021,Default Rate,0.003585322
Czech,Corporates - Of Which: SME,2021-12,31/12/2021,Default Rate,0.010903836
Czech,Retail,2021-12,31/12/2021,Default Rate,0.005715575
Czech,Retail - Secured on real estate property,2021-12,31/12/2021,Default Rate,0.003592283
Czech,Retail - Qualifying Revolving,2021-12,31/12/2021,Default Rate,0.004950044
Czech,Retail - Other Retail,2021-12,31/12/2021,Default Rate,0.011716479
Denmark,Corporates,2021-12,31/12/2021,Default Rate,0.005013441
Denmark,Corporates - Of Which: Specialised Lending,2021-12,31/12/2021,Default Rate,
Denmark,Corporates - Of Which: SME,2021-12,31/12/2021,Default Rate,0.002501366
Denmark,Retail,2021-12,31/12/2021,Default Rate,0.005957336
Denmark,Retail - Secured on real estate property,2021-12,31/12/2021,Default Rate,0.005792457
Denmark,Retail - Qualifying Revolving,2021-12,31/12/2021,Default Rate,0.013842117
Denmark,Retail - Other Retail,2021-12,31/12/2021,Default Rate,0.007651801
Estonia,Corporates,2021-12,31/12/2021,Default Rate,0.006884903
Estonia,Corporates - Of Which: Specialised Lending,2021-12,31/12/2021,Default Rate,
Estonia,Corporates - Of Which: SME,2021-12,31/12/2021,Default Rate,
Estonia,Retail,2021-12,31/12/2021,Default Rate,0.00436435
Estonia,Retail - Secured on real estate property,2021-12,31/12/2021,Default Rate,0.004304775
Estonia,Retail - Qualifying Revolving,2021-12,31/12/2021,Default Rate,0.015530377
Estonia,Retail - Other Retail,2021-12,31/12/2021,Default Rate,0.004306364
Finland,Corporates,2021-12,31/12/2021,Default Rate,0.013900231
Finland,Corporates - Of Which: Specialised Lending,2021-12,31/12/2021,Default Rate,
Finland,Corporates - Of Which: SME,2021-12,31/12/2021,Default Rate,0.019239474
Finland,Retail,2021-12,31/12/2021,Default Rate,0.012620266
Finland,Retail - Secured on real estate property,2021-12,31/12/2021,Default Rate,0.011897828
Finland,Retail - Qualifying Revolving,2021-12,31/12/2021,Default Rate,0.00783672
Finland,Retail - Other Retail,2021-12,31/12/2021,Default Rate,0.015861738
France,Corporates,2021-12,31/12/2021,Default Rate,0.006352508
France,Corporates - Of Which: Specialised Lending,2021-12,31/12/2021,Default Rate,0.008512921
France,Corporates - Of Which: SME,2021-12,31/12/2021,Default Rate,0.01306779
France,Retail,2021-12,31/12/2021,Default Rate,0.004749434
France,Retail - Secured on real estate property,2021-12,31/12/2021,Default Rate,0.00267998
France,Retail - Qualifying Revolving,2021-12,31/12/2021,Default Rate,0.008525583
France,Retail - Other Retail,2021-12,31/12/2021,Default Rate,0.008542751
Germany,Corporates,2021-12,31/12/2021,Default Rate,0.004451503
Germany,Corporates - Of Which: Specialised Lending,2021-12,31/12/2021,Default Rate,0.007140378
Germany,Corporates - Of Which: SME,2021-12,31/12/2021,Default Rate,0.007983246
Germany,Retail,2021-12,31/12/2021,Default Rate,0.006682985
Germany,Retail - Secured on real estate property,2021-12,31/12/2021,Default Rate,0.004281213
Germany,Retail - Qualifying Revolving,2021-12,31/12/2021,Default Rate,0.004232286
Germany,Retail - Other Retail,2021-12,31/12/2021,Default Rate,0.014795033
Greece,Corporates,2021-12,31/12/2021,Default Rate,0.015550202
Greece,Corporates - Of Which: Specialised Lending,2021-12,31/12/2021,Default Rate,
Greece,Corporates - Of Which: SME,2021-12,31/12/2021,Default Rate,0.032460457
Greece,Retail,2021-12,31/12/2021,Default Rate,0.075711898
Greece,Retail - Secured on real estate property,2021-12,31/12/2021,Default Rate,0.096639211
Greece,Retail - Qualifying Revolving,2021-12,31/12/2021,Default Rate,0.01497965
Greece,Retail - Other Retail,2021-12,31/12/2021,Default Rate,0.070482173
